EG	Gene	Syn	Protein	Function	Description	SP	b#	
EG12094	sgrR	yabN	transcriptional DNA-binding transcriptional activator of sgrS sRNA	Transport; Not classified	Transcriptional activator of sgrS sRNA; sgrS destabilizes ptsG mRNA	P33595	b0069
EG12095	secG	prlH	preprotein translocase membrane subunit	Transport; Protein, peptide secretion	SecYEG inner membrane translocon secA-interacting subunit; preprotein translocase secAYEG subunit; preprotein translocase secAYEG subunit	P0AG99	b3175
EG12096	chpB	chpBK, yjfE	toxin of the ChpB-ChpS toxin-antitoxin system	Putative factor; Not classified	ChpB toxin and mRNA interferase, antitoxin is ChpS; reversible inhibitor of translation, by mRNA cleavage	P33647	b4225
EG12097	yfiH	None	UPF0124 family protein	Null	Function unknown, UPF0124 family	P33644	b2593
EG12098	rluD	sfhB, yfiI	23S rRNA pseudouridine(1911,1915,1917) synthase	Enzyme; rRNA modification	23S rRNA pseudouridine(1911,1915,1917) synthase; mutation suppresses ftsH(Ts) mutants; null mutants grow very poorly in K-12 only	P33643	b2594
EG12099	efp	None	polyproline-specific translation elongation factor EF-P	Factor; Proteins - translation and modification	Polyproline-specific translation elongation factor EF-P	P0A6N4	b4147
EG12100	tktB	None	transketolase 2, thiamine triphosphate-binding	Enzyme; Central intermediary metabolism: Non-oxidative branch, pentose pathway	Transketolase B; binds Zn(II)	P33570	b2465
EG12101	feoA	None	ferrous iron transporter, protein A	Transport; Transport of small molecules: Cations	Ferrous iron uptake, required for full FeoB activity	P0AEL3	b3408
EG12102	feoB	None	ferrous iron transporter protein B and GTP-binding protein; membrane protein	Transport; Transport of small molecules: Cations	Putative ferrous iron permease with GTP-binding domain	P33650	b3409
EG12103	gapC'	None	pseudogene, GAP dehydrogenase	Null	Pseudogene reconstruction, GAP dehydrogenase; glyceraldehyde 3-phosphate dehydrogenase C	P33898	b4493
EG12104	yeiR	None	Zn-stimulated GTPase involved in zinc homeostasis; mutants are cadmium and EDTA sensitive; Zn(2+) binding protein	Enzyme; Not classified	Zn-stimulated GTPase involved in zinc homeostasis; mutants are cadmium and EDTA sensitive; Zn(2+) binding protein	P33030	b2173
EG12105	yeiE	None	putative DNA-binding transcriptional regulator	Putative regulator; Not classified	Putative positive regulator of lysP transcription	P0ACR4	b2157
EG12106	hofB	hopB	T2SE secretion family protein; P-loop ATPase superfamily protein	Putative transport; Not classified	T2SE family predicted protein secretion protein; predicted P-loop ATPase, function unknown	P36645	b0107
EG12107	ppdD	None	putative prepilin peptidase-dependent pilin	Putative structural component; Surface structures	Predicted prepilin peptidase-dependent pilin	P36647	b0108
EG12108	norR	ygaA	anaerobic nitric oxide reductase DNA-binding transcriptional activator	Regulator; Not classified	Transcription regulator for norVW, NO-responsive; Sigma54-dependent activator with a GAF domain	P37013	b2709
EG12110	ydcF	None	DUF218 superfamily protein, SAM-binding	Null	DUF218 family SAM-binding protein, function unknown; low abundance protein	P34209	b1414
EG12111	nlpD	None	activator of AmiC murein hydrolase activity, lipoprotein	Enzyme; Murein sacculus, peptidoglycan; membrane; Macromolecule synthesis, modification: Lipoprotein	Activator of AmiC murein hydrolase activity, lipoprotein	P0ADA3	b2742
EG12112	alpA	None	CP4-57 prophage; DNA-binding transcriptional activator	IS, phage, Tn; Phage or Prophage Related	Alp protease, CP4-57 putative defective prophage; regulates intA (slp [suppressor of Lon])	P33997	b2624
EG12113	hofQ	hopQ	DNA catabolic putative fimbrial transporter	Putative transport; Not classified	Required for the utilization of DNA as a carbon source; H. influenzae competence protein ComE homolog	P34749	b3391
EG12114	prfC	miaD, sra, srb, tos	peptide chain release factor RF-3	Factor; Proteins - translation and modification	Peptide chain release factor 3, RF-3; stimulates activity of RF-1 and RF-2	P0A7I4	b4375
EG12115	yjjG	None	dUMP phosphatase	Enzyme; Degradation of small molecules: Nucleotides	Noncanonical pyrimidine nucleotide house-cleaning phosphatase; dUMP phosphatase activity	P0A8Y1	b4374
EG12116	acrR	ybaH	transcriptional repressor	Regulator; Drug/analog sensitivity	Transcriptional repressor for acrAB	P0ACS9	b0464
EG12119	ychJ	None	UPF0225 family protein	Null	UPF0225 family protein 	P37052	b1233
EG12120	rssA	ychK	putative patatin-like family phospholipase	Null	Predicted phospholipase, patatin-like family, function unknown	P0AFR0	b1234
EG12121	rssB	hnr, mviA(S.t.), sprE, verA, ychL	PcnB-degradosome interaction factor; response regulator	Regulator; Basic proteins - synthesis, modification	Response regulator binding RpoS to initiate proteolysis by ClpXP; required for the PcnB-degradosome interaction during stationary phase; major cognate sensor kinase is ArcB	P0AEV1	b1235
EG12122	yggI	sprT	Zn-dependent metalloprotease-related protein	Null	Zn-dependent metalloprotease-related protein, function unknown	P39902	b2944
EG12123	lrhA	genR, hexA(E.c.)	transcriptional repressor of flagellar, motility and chemotaxis genes	Regulator; Energy metabolism, carbon: Aerobic respiration	Transcriptional repressor of motility master regulator flhDC; autoregulator	P36771	b2289
EG12124	hisJ	None	histidine ABC transporter periplasmic binding protein	Transport; Transport of small molecules: Amino acids, amines	Histidine ABC transporter periplasmic binding protein	P0AEU0	b2309
EG12125	hisQ	None	histidine ABC transporter permease	Transport; Transport of small molecules: Amino acids, amines	Histidine ABC transporter permease	P52094	b2308
EG12126	kdpF	None	potassium ion accessory transporter subunit	Null	Inner membrane protein for high-affinity potassium transport	P36937	b4513
EG12127	treB	None	trehalose-specific PTS enzyme: IIB and IIC component	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	Trehalose permease PTS EIIBC component	P36672	b4240
EG12128	lgt	umpA	phosphatidylglycerol-prolipoprotein diacylglyceryl transferase	Enzyme; Macromolecule synthesis, modification: Phospholipids	Phosphatidylglycerol:prolipoprotein diacylglycerol transferase	P60955	b2828
EG12129	uraA	None	uracil permease	Transport; Transport of small molecules: Nucleosides, purines, pyrimidines	Uracil permease; affects concentration dependence of pyr mutants	P0AGM7	b2497
EG12130	hscA	hsc	DnaK-like molecular chaperone specific for IscU	Factor; Chaperones	DnaK-like chaperone Hsc66, IscU-specific chaperone HscAB; involved in FtsZ-ring formation	P0A6Z1	b2526
EG12131	hscB	yfhE	HscA co-chaperone, J domain-containing protein Hsc56; IscU-specific chaperone HscAB	Factor; Chaperones	HscA co-chaperone, J domain-containing protein Hsc56; IscU-specific chaperone HscAB	P0A6L9	b2527
EG12132	iscA	yfhF	FeS cluster assembly protein	Putative regulator; Not classified	Recruit and deliver Fe for Fe-S cluster assembly in IscU; possibly an alternative scaffold for Fe-S cluster assembly	P0AAC8	b2528
EG12133	ucpA	yfeF	furfural resistance protein, putative short-chain oxidoreductase	Putative enzyme; Not classified	Furfural resistance, predicted oxidoreductase, COG1028 family	P37440	b2426
EG12134	rhtA	ybiF	threonine and homoserine efflux system	Putative membrane; Not classified	Transporter involved in threonine and homoserine efflux; overproduction confers resistance to elevated levels of exogenous L-threonine and L-homoserine	P0AA67	b0813
EG12135	ompX	ybiG	outer membrane protein X	Membrane; Outer membrane constituents	Outer membrane protein X; role in inducing RNAP-sigma E production	P0A917	b0814
EG12136	iceT	mdtD, yegB	putative citrate/iron-citrate/zinc-citrate efflux transporter	Putative transport; Not classified	Putative citrate/iron-citrate/zinc-citrate efflux transporter; putative arabinose exporter	P36554	b2077
EG12137	nlpE	cutF	lipoprotein involved with copper homeostasis and adhesion	Putative transport; Detoxification	Lipoprotein activating Cpx in response to adhesion; copper resistance; outer membrane protein	P40710	b0192
EG12138	yaeF	yaeK	putative lipoprotein	Null	Predicted lipoprotein, function unknown; Cys conserved	P37056	b0193
EG12139	yfhG	qseG	putative outer membrane protein modulating the QseEF response	Phenotype; Not classified	Predicted OM protein possibly affecting the QseEF response	P0AD44	b2555
EG12140	ydhB	None	LysR family putative transcriptional regulator	Putative regulator; Not classified	Function unknown, LysR family of transcriptional regulators	P0ACR2	b1659
EG12141	ydhC	None	putative arabinose efflux transporter	Putative transport; Not classified	Putative arabinose efflux transporter	P37597	b1660
EG12142	sdaC	dcrA	putative serine transporter	Putative transport; Transport of small molecules: Amino acids, amines	L-serine:H+ symport permease, threonine-insensitive	P0AAD6	b2796
EG12143	napD	yojF	assembly protein for periplasmic nitrate reductase	Null	Twin-arginine signal-peptide-binding chaperone for NapA	P0A9I5	b2207
EG12144	pgm	blu, pgmA	phosphoglucomutase	Enzyme; Degradation of small molecules: Carbon compounds	Phosphoglucomutase	P36938	b0688
EG12146	yhbJ	rapZ	adaptor protein for GlmZ/GlmY sRNA decay, glucosamine-6-phosphate-regulated; NTPase	Null	Adaptor protein RapZ for GlmZ/GlmY sRNA degradation; glucosamine-6-phosphate regulated; NTPase	P0A894	b3205
EG12147	npr	ptsO, rpoR, yhbK	phosphohistidinoprotein-hexose phosphotransferase component of N-regulated PTS system (Npr)	Transport; Transport of small molecules: Other	NPr, N-regulated HPr-like protein	P0A9N0	b3206
EG12148	galP	Pgal	D-galactose transporter	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	D-galactose/H+ symporter	P0AEP1	b2943
EG12149	asr	None	acid shock-inducible periplasmic protein	Phenotype; Not classified	Acid shock-inducible periplasmic protein required for acid tolerance; expression controlled by phoBR	P36560	b1597
EG12150	cobS	None	cobalamin synthase	Enzyme; Biosynthesis of cofactors, carriers: Cobalamin	Cobalamin synthase	P36561	b1992
EG12151	cobT	None	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	Enzyme; Biosynthesis of cofactors, carriers: Cobalamin	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase; partial cobalamin biosynthesis pathway present in E. coli	P36562	b1991
EG12152	idnK	gntV	D-gluconate kinase, thermosensitive	Enzyme; Degradation of small molecules: Carbon compounds	D-gluconate kinase	P39208	b4268
EG12153	narU	yddF	nitrate/nitrite transporter	Transport; Transport of small molecules: Anions	Nitrate/nitrite transporter; nitrite extrusion protein 2	P37758	b1469
EG12154	sieB	git	phage superinfection exclusion protein, Rac prophage	Phenotype; Phage or Prophage Related	Superinfection exclusion protein, Rac prophage	P38392	b1353
EG12155	kilR	kil, ydaD	killing protein, Rac prophage; FtsZ inhibitor protein	Phage or Prophage Related	Killing protein, Rac prophage; FtsZ inhibitor protein	P38393	b1352
EG12156	ydaE	None	conserved protein, Rac prophage	Phage or Prophage Related	Metallothionein, function unknown, Rac prophage	P38394	b4526
EG12157	ydaF	None	uncharacterized protein, Rac prophage	Phage or Prophage Related	DUF1391 family protein, Rac prophage	P0ACW0	b4527
EG12158	rdgC	yaiD	nucleoid-associated ssDNA and dsDNA binding protein; competitive inhibitor of RecA function	Null	Competitive inhibitor of RecA function; nucleoid-associated ssDNA and dsDNA binding protein; synthetic lethal with priA	P36767	b0393
EG12159	yaiE	None	UPF0345 family protein	Null	Function unknown, UPF0345 family	P0C037	b0391
EG12161	eaeH'	None	pseudogene, attaching and effacing protein homology	Factor; Not classified	Pseudogene, intimin homolog; N-terminal fragment, interrupted/deleted by IS3A	P36943	b0297
EG12162	gatR'	None	pseudogene, repressor for gat operon	Null	Pseudogene reconstruction, repressor for gat operon; interrupted by IS3E	P36930	b4498
EG12163	rsmB	fmu, fmv, rrmB, sun, yhdB	16S rRNA m(5)C967 methyltransferase, SAM-dependent	Enzyme; rRNA modification	16S rRNA m(5)C967 methyltransferase, SAM-dependent	P36929	b3289
EG12164	ytjC	gpmB	phosphatase	Enzyme; Not classified	Phosphatase, function unknown; multicopy suppressor of serB	P0A7A2	b4395
EG12165	mukF	kicB	chromosome condensin MukBEF, kleisin-like subunit, binds calcium	Factor; Cell killing	Chromosome condensin MukBEF, kleisin-like subunit, binds calcium	P60293	b0922
EG12166	elyC	ycbC	envelope biogenesis factor; DUF218 superfamily protein	Factor; Murein sacculus, peptidoglycan	Envelope biogenesis factor; DUF218 superfamily protein	P0AB01	b0920
EG12167	smtA	ycbD	putative S-adenosyl-L-methionine-dependent methyltransferase	Enzyme; Central intermediary metabolism: Pool, multipurpose conversions	Putative methyltransferase, SAM-dependent, Hns-regulated	P36566	b0921
EG12168	brnQ	hrbA	branched-chain amino acid transport system 2 carrier protein; LIV-II transport system for Ile, Leu, and Val	Transport; Transport of small molecules: Amino acids, amines	Branched-chain amino acid transport system 2 carrier protein; LIV-II transport system for Ile, Leu, and Val; mutants are valine and o-methylthreonine resistant, glycylvaline sensitive	P0AD99	b0401
EG12169	ccmD	yojM	cytochrome c biogenesis protein; heme export ABC transporter holo-CcmE release factor	Transport; Protein, peptide secretion	Heme export ABC transporter holo-CcmE release factor	P0ABM5	b2198
EG12171	yjjI	yjjH	DUF3029 family protein, putative glycine radical enzyme	Putative enzyme; Not classified	Anaerobically-induced glycine radical superfamily enzyme; required for anaerobic growth	P37342	b4380
EG12172	hinT	ycfF	purine nucleoside phosphoramidase, dadA activator protein	Null	Activator of DadA, D-alanine catabolism; purine nucleoside phosphoramidase; aminoacyl-adenylate hydrolase	P0ACE7	b1103
EG12173	gspM	hopZ, pshM	general secretory pathway component, cryptic	Putative transport; Not classified	Part of H-NS-silenced gsp-alpha (T2SS-alpha) divergon, type II protein secretion; cloned gsp-alpha (T2SS-alpha) divergon secretes ChiA, requires gspAB operon	P36678	b3334
EG12174	ydaG	gatA	UBA-like domain protein, Rac prophage	Phage or Prophage Related	UBA-like domain protein, Rac prophage; expressed small protein	P76061	b1355
EG12176	yjdC	cutA3	putative transcriptional regulator	Null	Putative transcriptional repressor, function unknown	P0ACU7	b4135
EG12177	cutA	cutA1, cycY	divalent-cation tolerance protein, copper sensitivity	Phenotype; Adaptations, atypical conditions	Copper sensitivity, binds Cu(II); possible role in cytochrome c maturation; trimeric	P69488	b4137
EG12178	dsbD	cutA2, cycZ, dipZ, htrI	thiol:disulfide interchange protein and activator of DsbC	Putative enzyme; Central intermediary metabolism: Sulfur metabolism	Transmembrane protein-disulfide reductase, transfers electrons from cytoplasmic thioredoxin to the periplasm	P36655	b4136
EG12179	cspE	gicA, msmC	constitutive cold shock family transcription antitermination protein; negative regulator of cspA transcription; RNA melting protein; ssDNA-binding protein	Phenotype; Not classified	Transcription antitermination protein; constitutively-expressed cold shock family protein; negative regulator of cspA transcription; binds and melts RNA; binds ssDNA; dimeric	P0A972	b0623
EG12180	pagP	crcA, ybeG	phospholipid:lipid A palmitoyltransferase	Enzyme; Surface polysaccharides & antigens	Phospholipid:lipid A palmitoyltransferase; confers resistance to cationic antimicrobial peptides; multicopy suppressor of camphor-induced or mukB mutant chromosome condensation	P37001	b0622
